,onset,offset,story,word,lemma,PoS_tag_full
2054,214.809999,214.939999,forgot,them,them,PRP
2055,214.940001,215.090001,forgot,by,by,IN
2056,215.109999,215.479999,forgot,creeping,creep,VBG
2057,215.48,215.64,forgot,up,up,RB
2058,215.639999,215.729999,forgot,on,on,IN
2059,215.73,215.92,forgot,them,them,PRP
2060,215.92,216.05,forgot,from,from,IN
2061,216.049999,216.329999,forgot,another,another,DT
2062,216.33,216.89,forgot,direction,direction,NN
2063,217.23,217.45,forgot,see,see,VB
2064,217.45,217.55,forgot,i,I,PRP
2065,,,forgot,go,go,VB
2066,,,forgot,and,and,CC
2067,217.88,218.16,forgot,look,look,NN
2068,218.17,218.32,forgot,for,for,IN
2069,218.32,218.4,forgot,a,a,DT
2070,218.4,218.92,forgot,word,word,NN
2071,218.98,219.12,forgot,i,I,PRP
2072,219.12,219.38,forgot,am,be,VBP
2073,219.43,219.99,forgot,discussing,discuss,VBG
2074,219.99,220.07,forgot,the,the,DT
2075,220.07,220.61,forgot,inhabitants,inhabitants,NNS
2076,220.61,220.71,forgot,of,of,IN
2077,220.71,220.78,forgot,the,the,DT
2078,220.78,221.09,forgot,planet,planet,NN
2079,221.09,221.6,forgot,mars,Mars,NNS
2080,221.67,222.06,forgot,say,say,VB
2081,222.32,222.47,forgot,and,and,CC
2082,222.47,222.54,forgot,i,I,PRP
2083,222.54,222.94,forgot,realized,realize,VBN
2084,222.94,223.03,forgot,that,that,IN
2085,223.04,223.16,forgot,the,the,DT
2086,223.16,223.44,forgot,word,word,NN
2087,223.44,223.54,forgot,for,for,IN
2088,223.54,223.73,forgot,them,them,PRP
2089,223.73,223.88,forgot,has,have,VBZ
2090,223.88,224.26,forgot,gone,go,VBN
2091,224.73,224.83,forgot,i,I,PRP
2092,224.83,225.06,forgot,might,might,MD
2093,225.059999,225.339999,forgot,also,also,RB
2094,225.34,225.94,forgot,realize,realize,VB
2095,226.0,226.15,forgot,that,that,IN
2096,226.15,226.22,forgot,the,the,DT
2097,226.219999,226.579999,forgot,missing,miss,VBG
2098,226.58,226.81,forgot,word,word,NN
2099,226.809999,227.359999,forgot,occurs,occur,NNS
2100,227.7,227.81,forgot,in,in,IN
2101,227.809999,227.859999,forgot,a,a,DT
2102,227.86,228.42,forgot,sentence,sentence,NN
2103,228.42,228.51,forgot,or,or,CC
2104,228.509999,228.579999,forgot,a,a,DT
2105,228.58,229.13,forgot,title,title,NN
2106,229.62,230.2,forgot,the,the,DT
2107,231.67,232.48,forgot,chronicles,chronicle,NNS
2108,233.619999,233.859999,forgot,my,my,PRP$
